time,x,y,u,v,phase,toe_x,toe_y,energy
0.064000,0.281747,1.029909,4.402300,-0.627840,0,0.698773,0.121014,19.990623
0.065000,0.286150,1.029276,4.402300,-0.637650,0,0.703175,0.120382,19.990623
0.066000,0.290552,1.028634,4.402300,-0.647460,0,0.707577,0.119739,19.990623
0.067000,0.294954,1.027981,4.402300,-0.657270,0,0.711979,0.119087,19.990623
0.068000,0.299356,1.027319,4.402300,-0.667080,0,0.716382,0.118424,19.990623
0.069000,0.303759,1.026647,4.402300,-0.676890,0,0.720784,0.117752,19.990623
0.070000,0.308161,1.025966,4.402300,-0.686700,0,0.725186,0.117071,19.990623
0.071000,0.312563,1.025274,4.402300,-0.696510,0,0.729589,0.116379,19.990623
0.072000,0.316966,1.024572,4.402300,-0.706320,0,0.733991,0.115678,19.990623
0.073000,0.321368,1.023861,4.402300,-0.716130,0,0.738393,0.114966,19.990623
0.074000,0.325770,1.023140,4.402300,-0.725940,0,0.742796,0.114245,19.990623
0.075000,0.330173,1.022409,4.402300,-0.735750,0,0.747198,0.113515,19.990623
0.076000,0.334575,1.021669,4.402300,-0.745560,0,0.751600,0.112774,19.990623
0.077000,0.338977,1.020918,4.402300,-0.755370,0,0.756002,0.112023,19.990623
0.078000,0.343379,1.020158,4.402300,-0.765180,0,0.760405,0.111263,19.990623
0.079000,0.347782,1.019388,4.402300,-0.774990,0,0.764807,0.110493,19.990623
0.080000,0.352184,1.018608,4.402300,-0.784800,0,0.769209,0.109713,19.990623
0.081000,0.356586,1.017818,4.402300,-0.794610,0,0.773612,0.108923,19.990623
0.082000,0.360989,1.017019,4.402300,-0.804420,0,0.778014,0.108124,19.990623
0.083000,0.365391,1.016209,4.402300,-0.814230,0,0.782416,0.107315,19.990623
0.084000,0.369793,1.015390,4.402300,-0.824040,0,0.786819,0.106495,19.990623
0.085000,0.374196,1.014561,4.402300,-0.833850,0,0.791221,0.105667,19.990623
0.086000,0.378598,1.013723,4.402300,-0.843660,0,0.795623,0.104828,19.990623
0.087000,0.383000,1.012874,4.402300,-0.853470,0,0.800025,0.103979,19.990623
0.088000,0.387402,1.012016,4.402300,-0.863280,0,0.804428,0.103121,19.990623
0.089000,0.391805,1.011147,4.402300,-0.873090,0,0.808830,0.102253,19.990623
0.090000,0.396207,1.010270,4.402300,-0.882900,0,0.813232,0.101375,19.990623
0.091000,0.400609,1.009382,4.402300,-0.892710,0,0.817635,0.100487,19.990623
0.092000,0.405012,1.008484,4.402300,-0.902520,0,0.822037,0.099589,19.990623
0.093000,0.409414,1.007577,4.402300,-0.912330,0,0.826439,0.098682,19.990623
0.094000,0.413816,1.006659,4.402300,-0.922140,0,0.830842,0.097765,19.990623
0.095000,0.418219,1.005732,4.402300,-0.931950,0,0.835244,0.096838,19.990623
0.096000,0.422621,1.004796,4.402300,-0.941760,0,0.839646,0.095901,19.990623
0.097000,0.427023,1.003849,4.402300,-0.951570,0,0.844048,0.094954,19.990623
0.098000,0.431425,1.002892,4.402300,-0.961380,0,0.848451,0.093998,19.990623
0.099000,0.435828,1.001926,4.402300,-0.971190,0,0.852853,0.093031,19.990623
0.100000,0.440230,1.000950,4.402300,-0.981000,0,0.857255,0.092055,19.990623
0.101000,0.444632,0.999964,4.402300,-0.990810,0,0.861658,0.091069,19.990623
0.102000,0.449035,0.998968,4.402300,-1.000620,0,0.866060,0.090074,19.990623
0.103000,0.453437,0.997963,4.402300,-1.010430,0,0.870462,0.089068,19.990623
0.104000,0.457839,0.996948,4.402300,-1.020240,0,0.874865,0.088053,19.990623
0.105000,0.462242,0.995922,4.402300,-1.030050,0,0.879267,0.087028,19.990623
0.106000,0.466644,0.994887,4.402300,-1.039860,0,0.883669,0.085993,19.990623
0.107000,0.471046,0.993843,4.402300,-1.049670,0,0.888071,0.084948,19.990623
0.108000,0.475448,0.992788,4.402300,-1.059480,0,0.892474,0.083893,19.990623
0.109000,0.479851,0.991724,4.402300,-1.069290,0,0.896876,0.082829,19.990623
0.110000,0.484253,0.990650,4.402300,-1.079100,0,0.901278,0.081755,19.990623
0.111000,0.488655,0.989565,4.402300,-1.088910,0,0.905681,0.080671,19.990623
0.112000,0.493058,0.988472,4.402300,-1.098720,0,0.910083,0.079577,19.990623
0.113000,0.497460,0.987368,4.402300,-1.108530,0,0.914485,0.078473,19.990623
0.114000,0.501862,0.986255,4.402300,-1.118340,0,0.918888,0.077360,19.990623
0.115000,0.506265,0.985131,4.402300,-1.128150,0,0.923290,0.076237,19.990623
0.116000,0.510667,0.983998,4.402300,-1.137960,0,0.927692,0.075103,19.990623
0.117000,0.515069,0.982855,4.402300,-1.147770,0,0.932094,0.073961,19.990623
0.118000,0.519471,0.981703,4.402300,-1.157580,0,0.936497,0.072808,19.990623
0.119000,0.523874,0.980540,4.402300,-1.167390,0,0.940899,0.071645,19.990623
0.120000,0.528276,0.979368,4.402300,-1.177200,0,0.945301,0.070473,19.990623
0.121000,0.532678,0.978186,4.402300,-1.187010,0,0.949704,0.069291,19.990623
0.122000,0.537081,0.976994,4.402300,-1.196820,0,0.954106,0.068099,19.990623
